,step,Function,Model,ptc regulation,alphaHh_by,x_reach,t_reach
332,13,Hh,Overshoot,No,2,,57600
333,13,Signal,Overshoot,No,2,,57600
334,13,Hh,SS,No,2,27.864329221752556,False
335,13,Signal,SS,No,2,30.474322050102344,False
336,14,Hh,Overshoot,Yes,1,,57600
337,14,Signal,Overshoot,Yes,1,,57600
338,14,Hh,SS,Yes,1,33.702084484410435,False
339,14,Signal,SS,Yes,1,35.94119141791393,False
340,14,Hh,Overshoot,Yes,0.5,,57600
341,14,Signal,Overshoot,Yes,0.5,,57600
342,14,Hh,SS,Yes,0.5,33.456628391974746,False
343,14,Signal,SS,Yes,0.5,24.78598196234462,False
344,14,Hh,Overshoot,Yes,2,,57600
345,14,Signal,Overshoot,Yes,2,,57600
346,14,Hh,SS,Yes,2,35.350716660373024,False
347,14,Signal,SS,Yes,2,47.48515817797302,False
348,14,Hh,Overshoot,No,1,,57600
349,14,Signal,Overshoot,No,1,,57600
350,14,Hh,SS,No,1,38.4470132200224,False
351,14,Signal,SS,No,1,41.504463388634875,False
352,14,Hh,Overshoot,No,0.5,,57600
353,14,Signal,Overshoot,No,0.5,,57600
354,14,Hh,SS,No,0.5,37.75043254972172,False
355,14,Signal,SS,No,0.5,29.648730164084768,False
356,14,Hh,Overshoot,No,2,,57600
357,14,Signal,Overshoot,No,2,,57600
358,14,Hh,SS,No,2,38.971977248398716,False
359,14,Signal,SS,No,2,53.425460332798274,False
360,15,Hh,Overshoot,Yes,1,17.987129095970943,5059
361,15,Signal,Overshoot,Yes,1,23.96675241178879,5059
362,15,Hh,SS,Yes,1,11.252830234094773,False
363,15,Signal,SS,Yes,1,14.462239726002451,False
364,15,Hh,Overshoot,Yes,0.5,,57600
365,15,Signal,Overshoot,Yes,0.5,,57600
366,15,Hh,SS,Yes,0.5,9.91588300605629,False
367,15,Signal,SS,Yes,0.5,9.92750791735709,False
368,15,Hh,Overshoot,Yes,2,18.705162360279544,3273
369,15,Signal,Overshoot,Yes,2,29.864328439381936,5246
370,15,Hh,SS,Yes,2,13.440283097858895,False
371,15,Signal,SS,Yes,2,19.667477869992098,False
372,15,Hh,Overshoot,No,1,18.34545521496983,57600
373,15,Signal,Overshoot,No,1,24.852084630068035,57600
374,15,Hh,SS,No,1,18.447339680551053,False
375,15,Signal,SS,No,1,24.77881054266527,False
376,15,Hh,Overshoot,No,0.5,,57600
377,15,Signal,Overshoot,No,0.5,,57600
378,15,Hh,SS,No,0.5,17.48188759502871,False
379,15,Signal,SS,No,0.5,18.93926782527494,False
380,15,Hh,Overshoot,No,2,19.075172955821458,57600
381,15,Signal,Overshoot,No,2,30.818168661603536,57600
382,15,Hh,SS,No,2,19.102480611174954,False
383,15,Signal,SS,No,2,30.68130813193696,False
384,16,Hh,Overshoot,Yes,1,,57600
385,16,Signal,Overshoot,Yes,1,,57600
386,16,Hh,SS,Yes,1,17.513947588482466,False
387,16,Signal,SS,Yes,1,13.666821060769735,False
388,16,Hh,Overshoot,Yes,0.5,,57600
389,16,Signal,Overshoot,Yes,0.5,,57600
390,16,Hh,SS,Yes,0.5,17.369015390955,False
391,16,Signal,SS,Yes,0.5,8.321166060429618,False
392,16,Hh,Overshoot,Yes,2,19.20484770074603,2756
393,16,Signal,Overshoot,Yes,2,19.92932420776748,8521
394,16,Hh,SS,Yes,2,17.766834416989482,False
395,16,Signal,SS,Yes,2,19.565360212200304,False
396,16,Hh,Overshoot,No,1,,57600
397,16,Signal,Overshoot,No,1,,57600
398,16,Hh,SS,No,1,18.754371164925317,False
399,16,Signal,SS,No,1,15.234604695171868,False
400,16,Hh,Overshoot,No,0.5,,57600
401,16,Signal,Overshoot,No,0.5,,57600
402,16,Hh,SS,No,0.5,18.143027207593377,False
403,16,Signal,SS,No,0.5,9.41407072173729,False
404,16,Hh,Overshoot,No,2,19.222783470558085,57600
405,16,Signal,Overshoot,No,2,20.578565253518562,57600
406,16,Hh,SS,No,2,19.218894712402076,False
407,16,Signal,SS,No,2,21.127119315626786,False
408,17,Hh,Overshoot,Yes,1,,57600
409,17,Signal,Overshoot,Yes,1,,57600
410,17,Hh,SS,Yes,1,30.002988730731232,False
411,17,Signal,SS,Yes,1,31.556488357576853,False
412,17,Hh,Overshoot,Yes,0.5,,57600
413,17,Signal,Overshoot,Yes,0.5,,57600
414,17,Hh,SS,Yes,0.5,30.195726877414515,False
415,17,Signal,SS,Yes,0.5,21.148658478928027,False
416,17,Hh,Overshoot,Yes,2,,57600
417,17,Signal,Overshoot,Yes,2,,57600
418,17,Hh,SS,Yes,2,32.264977993184175,False
419,17,Signal,SS,Yes,2,42.70254259695941,False
420,17,Hh,Overshoot,No,1,,57600
421,17,Signal,Overshoot,No,1,,57600
422,17,Hh,SS,No,1,37.28560366001781,False
423,17,Signal,SS,No,1,40.07052427284209,False
424,17,Hh,Overshoot,No,0.5,,57600
425,17,Signal,Overshoot,No,0.5,,57600
426,17,Hh,SS,No,0.5,36.04281902133882,False
427,17,Signal,SS,No,0.5,28.37249751624438,False
428,17,Hh,Overshoot,No,2,,57600
429,17,Signal,Overshoot,No,2,,57600
430,17,Hh,SS,No,2,38.2410570188919,False
431,17,Signal,SS,No,2,51.905988512003866,False
432,18,Hh,Overshoot,Yes,1,22.49301965820588,6397
433,18,Signal,Overshoot,Yes,1,19.356274200189134,6397
434,18,Hh,SS,Yes,1,13.480232262339456,False
435,18,Signal,SS,Yes,1,7.2025015477677385,False
436,18,Hh,Overshoot,Yes,0.5,20.688506251803503,2256
437,18,Signal,Overshoot,Yes,0.5,12.188997246452203,6790
438,18,Hh,SS,Yes,0.5,15.384464488692998,False
439,18,Signal,SS,Yes,0.5,3.684000071221348,False
440,18,Hh,Overshoot,Yes,2,24.273716785643956,3586
441,18,Signal,Overshoot,Yes,2,27.208319832456212,6415
442,18,Hh,SS,Yes,2,12.692616249302588,False
443,18,Signal,SS,Yes,2,12.476739993166916,False
444,18,Hh,Overshoot,No,1,22.586780239274702,57600
445,18,Signal,Overshoot,No,1,20.598997542862108,57600
446,18,Hh,SS,No,1,22.78508353548885,False
447,18,Signal,SS,No,1,18.280194523254835,False
448,18,Hh,Overshoot,No,0.5,20.6884350182317,2254
449,18,Signal,Overshoot,No,0.5,12.896624585564012,57600
450,18,Hh,SS,No,0.5,20.705924048560917,False
451,18,Signal,SS,No,0.5,10.605001141745603,False
452,18,Hh,Overshoot,No,2,24.48967564605769,57600
453,18,Signal,Overshoot,No,2,28.781200441511757,57600
454,18,Hh,SS,No,2,24.601750564827483,False
455,18,Signal,SS,No,2,26.38944298214156,False
456,19,Hh,Overshoot,Yes,1,,57600
457,19,Signal,Overshoot,Yes,1,,57600
458,19,Hh,SS,Yes,1,19.021216179781575,False
459,19,Signal,SS,Yes,1,19.834518857113963,False
460,19,Hh,Overshoot,Yes,0.5,,57600
461,19,Signal,Overshoot,Yes,0.5,,57600
462,19,Hh,SS,Yes,0.5,17.74722554311478,False
463,19,Signal,SS,Yes,0.5,12.916523127596093,False
464,19,Hh,Overshoot,Yes,2,,57600
465,19,Signal,Overshoot,Yes,2,,57600
466,19,Hh,SS,Yes,2,21.108657357661897,False
467,19,Signal,SS,Yes,2,27.435485083477317,False
468,19,Hh,Overshoot,No,1,,57600
469,19,Signal,Overshoot,No,1,,57600
470,19,Hh,SS,No,1,22.785086229432636,False
471,19,Signal,SS,No,1,24.22913180710745,False
472,19,Hh,Overshoot,No,0.5,,57600
473,19,Signal,Overshoot,No,0.5,,57600
474,19,Hh,SS,No,0.5,20.70592404855475,False
475,19,Signal,SS,No,0.5,16.410327033843274,False
476,19,Hh,Overshoot,No,2,,57600
477,19,Signal,Overshoot,No,2,,57600
478,19,Hh,SS,No,2,24.601765469367322,False
479,19,Signal,SS,No,2,32.35260471590502,False
480,20,Hh,Overshoot,Yes,1,,57600
481,20,Signal,Overshoot,Yes,1,,57600
482,20,Hh,SS,Yes,1,24.27853650795751,False
483,20,Signal,SS,Yes,1,31.8184070446425,False
484,20,Hh,Overshoot,Yes,0.5,,57600
485,20,Signal,Overshoot,Yes,0.5,,57600
486,20,Hh,SS,Yes,0.5,22.999295682299348,False
487,20,Signal,SS,Yes,0.5,22.59950980788605,False
488,20,Hh,Overshoot,Yes,2,,57600
489,20,Signal,Overshoot,Yes,2,,57600
490,20,Hh,SS,Yes,2,27.564764224120353,False
491,20,Signal,SS,Yes,2,42.12410581608957,False
492,20,Hh,Overshoot,No,1,,57600
493,20,Signal,Overshoot,No,1,,57600
494,20,Hh,SS,No,1,36.04277071874462,False
495,20,Signal,SS,No,1,48.42629301866578,False
496,20,Hh,Overshoot,No,0.5,,57600
497,20,Signal,Overshoot,No,0.5,,57600
498,20,Hh,SS,No,0.5,34.63630519136855,False
499,20,Signal,SS,No,0.5,36.88381564474524,False
500,20,Hh,Overshoot,No,2,,57600
501,20,Signal,Overshoot,No,2,,57600
502,20,Hh,SS,No,2,37.28555610992897,False
503,20,Signal,SS,No,2,60.1750543312896,False
504,21,Hh,Overshoot,Yes,1,26.3818685836211,9627
505,21,Signal,Overshoot,Yes,1,29.895020700482036,9627
506,21,Hh,SS,Yes,1,20.413756748649405,False
507,21,Signal,SS,Yes,1,21.528226252858687,False
508,21,Hh,Overshoot,Yes,0.5,25.574773029619138,4079
509,21,Signal,Overshoot,Yes,0.5,21.840496059947085,9753
510,21,Hh,SS,Yes,0.5,20.03995431825666,False
511,21,Signal,SS,Yes,0.5,14.26073832379467,False
512,21,Hh,Overshoot,Yes,2,27.047289410033457,3988
