,x_reach_Hh_over,t_reach_Hh_over,x_reach_Signal_over,t_reach_Signal_over,x_reach_Hh_SS,x_reach_Signal_SS,x_reach_Hh_over_up,t_reach_Hh_over_up,x_reach_Signal_over_up,t_reach_Signal_over_up,x_reach_Hh_SS_up,x_reach_Signal_SS_up,x_reach_Hh_over_down,t_reach_Hh_over_down,x_reach_Signal_over_down,t_reach_Signal_over_down,x_reach_Hh_SS_down,x_reach_Signal_SS_down
73,23.855821766760343,4173,34.4739492955608,6962,11.745738161943251,16.729147148105483,,57600,,57600,8.365108851004123,10.762809371628578,28.267969394080225,4565,45.1324621005744,7682,16.37136494714406,24.603233341465938
74,,57600,,57600,23.71578780798265,28.45257684444003,,57600,,57600,20.433939927141523,17.68527682007631,,57600,,57600,30.040962288851333,41.48649178693888
75,27.19877809120341,4742,28.55526517007918,18527,25.86305357576674,28.0490099579567,26.89592087910924,5083,20.392525045815432,16248,25.808748365904222,19.96076494913882,27.49642221845464,4579,36.85166560415307,15469,26.3559449573399,36.31883811180258
76,21.907463539878222,9851,27.740103267114264,17586,21.73697567797194,27.735401276243564,19.28264725719572,9757,19.882802884736776,17679,19.223548801427313,20.0796289401691,24.147452826161626,10256,35.94048971593226,17733,23.9534920411771,35.834628681855605
77,27.536748628266565,7365,21.792923188348098,9391,25.96687654850544,19.956527326975362,27.418081030119907,8225,13.624980622720571,9251,26.338239799869783,12.045554666150068,27.630736808480037,7004,30.13997231718973,9633,25.87522077979952,28.126278438626258
78,23.180726890296825,5579,29.382627406803365,7782,18.54359271758193,23.465200766992666,20.825533862280466,5523,21.365916175246284,7523,16.03275031735224,16.511449984498995,24.995396185989947,5939,37.511253967941435,7113,21.44112113548131,31.493567119650052
79,50.09494295644609,5550,92.48277437893658,8830,42.991679453113164,71.4951827189223,47.470076648072144,4965,70.09893836015057,8337,37.74755984173556,55.85179719376032,52.44051446665649,6297,100.9981118564535,5857,47.54562300876749,88.64388942397913
80,18.188607625351793,3212,26.917636015154912,7957,13.646904592842944,20.68187751452409,,57600,,57600,11.701288327764047,15.451910875718326,18.810293627740492,3316,32.916421941137216,7932,15.580919127414163,25.990174886755426
81,26.9136333622061,2894,12.820859756817597,7498,26.007810752112547,12.028018443655284,26.63891094437986,2489,4.7302631622774385,8362,26.305032710293716,4.461442922641766,27.226562012127033,2784,21.190449899735313,7401,25.794000951607018,19.87522900334244
82,18.611892182222448,1993,4.666376301239126,11368,18.422504210726203,3.73125154724994,18.357074113220662,1602,2.9497819780198,57600,18.15452201155449,1.8805441593877816,18.98682505287232,2822,9.713740086185936,9013,18.014729776362643,8.155262768200615
83,42.6318560760502,5384,46.74367662456386,9081,29.517056212337366,29.41502697785215,37.830755651891785,5460,31.85152379094238,8782,26.462065939731716,17.02796010233037,46.84719449413504,5613,62.568660147723456,9533,35.579567071768906,43.668343994781935
84,17.557558044580205,4299,22.456236703412344,11825,16.42841660790873,22.000316624964896,16.52032912891967,4385,16.7963058844053,12082,15.314465620405386,16.6133039186131,18.422466813224972,4376,28.43579584562471,14029,17.591545801577197,27.659320047276708
85,,57600,,57600,22.355224661312562,29.58335309991297,,57600,,57600,20.49566739248222,21.61173969632401,,57600,,57600,24.301704316115476,37.48346754843338
86,,57600,,57600,24.549911851893498,33.00201981151962,26.044920869866445,5642,30.330473321102446,7561,23.22809862199246,24.900493874893044,27.14727697739019,6482,46.9984680207311,8514,25.889049377856992,41.27489613728586
87,,57600,,57600,27.709882961878606,13.537483705109565,,57600,,57600,27.67647191661281,5.302073717445424,,57600,,57600,27.758672150595572,21.96595681270972
88,19.292245499326555,6505,25.807384474217827,21763,19.18355809192255,24.279695689199443,16.655690527298418,7485,18.43950215838028,23388,16.703153299618194,17.08607007774893,21.92276191810778,6290,33.65755420624491,21233,21.726989875748743,32.01380208433646
89,30.45090176067042,5925,40.053448451497964,11204,22.50249599202411,27.905283291193157,,57600,,57600,19.107845621305316,18.640294474237507,,57600,,57600,26.846429842944318,38.31409755688185
90,,57600,,57600,22.51208353707949,28.062339366192703,,57600,,57600,19.20887468269939,18.679374991108276,,57600,,57600,27.006542752943602,38.4969891925509
91,19.605000376460225,4692,15.600500709235689,10706,18.587529678175386,14.562417337324703,19.500806248270408,5296,9.82286520917016,11315,18.860846048554464,8.990456541785989,19.70764811380164,4433,21.535720162444264,13522,18.491488128203628,20.37386272190959
92,25.488927368944147,5150,40.943310721739294,6685,22.92233054729418,34.836573602334965,24.46108003695271,4640,32.78268743726795,6263,20.57724867477917,26.90386916715609,26.40968842810092,5885,49.201771015068324,7127,24.869452378776856,43.02880288024997
93,12.97372965480072,1631,10.152311257532318,7403,9.27087544392458,7.361226393164685,12.79490999493727,1377,6.574180666443155,7219,9.47843391098938,4.188003016893205,13.252951220526285,2019,14.177000251820843,7531,10.202161460268599,10.973589998736315
94,24.71081645726194,5434,36.307128665828465,10393,18.410014475794327,26.72675298467645,,57600,,57600,13.83335682804497,18.43929651676713,29.238413146624765,5907,47.21626224505396,10841,23.53191366205769,36.55164861271274
95,18.056211980393243,5395,25.528211687197114,11049,13.311178045987717,18.532026533013763,15.051147360711994,5164,18.43432191347719,10028,10.55660599703019,12.612466108804952,,57600,,57600,16.664484166513603,25.393637065482324
96,47.107985222109086,4707,70.4540155935415,7321,36.48335187469196,53.34168422902499,43.65367813306328,4571,54.39059115132205,6962,30.838924841298365,38.984482342018794,50.02538489528205,5076,92.17717338814784,7869,42.29423639931834,68.89618860640397
97,,57600,,57600,27.272781973495725,28.39132830934504,,57600,,57600,26.00589870563735,18.238887111328623,,57600,,57600,30.47953061023523,39.32740730099472
98,,57600,,57600,8.834383282410798,5.534010517294234,,57600,,57600,8.961553265033103,3.196002340449411,13.472714696738933,3922,14.731158813785314,8004,9.160210323545357,9.073000930848096
99,,57600,,57600,37.241662623634575,40.064105820675735,,57600,,57600,36.51816246688839,28.42375551995923,,57600,,57600,38.019348349144956,51.8696443168794
100,,57600,,57600,18.78726517846789,4.531062437072066,,57600,,57600,19.173879398419487,2.977409755332758,,57600,,57600,18.331783836612516,8.828970005045903
101,24.53418429051564,2499,33.610817547483336,12328,20.72693241044294,27.467906007498186,23.630902798551915,1890,25.880077921157238,12669,19.523872475837535,20.29717962261529,25.526081037114963,2524,41.68323624427446,12183,22.401357410620662,35.13931122360739
102,,57600,,57600,8.403146804495933,8.859483077100279,,57600,,57600,7.444033469622212,5.6005847704012695,12.959628632002989,1723,16.05461148397241,4524,9.809797104346984,12.439836765207332
103,27.23795803412449,3466,14.266579830299875,10652,26.642659422726993,12.705973336838653,26.915881157527124,3549,6.505990749018167,12673,26.677559629580742,5.1946223603128345,27.55463001305354,3237,22.64346136601499,10044,26.622378035965767,20.79962616631437
104,13.627905974414745,2411,5.636013209302959,9477,12.25591925184662,5.149727795374318,13.500185877416854,1991,2.6955526166483708,16671,13.138190338025339,2.3677280630078172,13.78449399246044,3028,11.377473059539383,7828,11.412585625221013,8.663195698051467
105,53.313539945147085,16217,33.94952983949902,22799,52.93881949834901,25.846048980436834,51.385803515544715,57600,19.53080087924255,57600,51.07135048180334,12.177275329889497,54.86870825064653,14801,50.836318974864106,21194,54.41607087551149,42.3472808708607
106,12.85120428190615,3255,14.507465472698286,4989,7.854978419862192,9.426344724811429,10.87798459880176,835,9.495143995342588,6662,6.95472577976858,6.497496016527265,14.881032575247147,3296,19.967793212576396,6373,9.986428333916777,14.02390361368515
107,17.278613448918435,5662,19.822441410940243,10721,11.324211332973931,11.35063596632574,15.941205886846689,5439,14.131958377125216,10942,12.326896703209485,7.759130250715842,18.32973792644195,5541,25.659717314133076,10802,11.452176423938042,15.798766448299332
108,,57600,,57600,37.70513855613527,58.31086291227677,,57600,,57600,30.926046946607812,43.51067370004958,,57600,,57600,43.81092497599322,74.19850431430814
109,27.52053084388031,8216,38.251007354477245,14728,25.964979368243533,35.496187846354445,27.051794481981474,8174,29.839500218529082,14235,25.18251360149995,27.279215026253496,27.85319538475163,8597,46.692749474945145,15301,26.797761558205835,43.85883564610742
110,,57600,,57600,8.211903817088427,4.857361504270074,,57600,,57600,8.406335408637261,2.5373832198068698,15.009782815151397,1777,16.346673742571426,3729,8.509378835439733,8.541506746827523
111,19.215085426421098,2432,14.252742854010691,6143,17.75986893933417,13.822715255695343,18.77419317395409,2250,8.561946413166098,6028,17.797189006410235,8.419194095613634,19.524411680944198,2339,20.12272859951827,6142,17.895347089821556,19.48723182319408
112,22.113722269923116,6119,37.31903329570964,11907,21.3351626946925,36.40843742301606,20.029057752180364,5638,29.43772804100915,11655,18.99406068345388,28.5845570489046,24.057687714170967,6759,45.410397517977245,11622,23.509324994268923,44.4003268244048
113,23.441640860405073,2461,26.380519349173724,5894,13.945700484948063,13.766609509026694,21.939706039553784,2453,18.696005535938312,6064,14.740149812611975,8.429871010095852,24.922205413377924,2401,34.429464730675164,5890,16.09835765559616,20.233708922511596
114,12.222637272288466,2548,14.136825402772388,27254,12.442352268995293,13.64763836701377,11.42289722967989,1342,10.07478556295679,35174,11.563539047343113,9.596141859995228,12.964744011021168,3502,18.294834031989183,25247,13.12821548255667,17.791417651020197
115,18.92730171832453,2969,19.12188087175838,5541,12.523080712546246,12.170168300471829,16.437041997942913,3079,12.06191755344176,5703,12.323607965042115,7.115728670668503,21.41637198906176,2992,26.792600284996055,5625,14.841837117203184,18.44435284381005
116,24.04324383457393,5997,30.265571252527778,9577,18.410122983142813,24.146126999930047,22.24537329245736,6098,22.262633592618826,9490,16.718150759585924,17.077869705982422,25.459177369457578,6137,38.45354614144077,10908,21.091357603698242,31.747997192600593
117,13.784196311465422,3062,6.113473143063985,8241,13.434794573033656,6.71334181402699,13.628068261775937,2411,2.5084001593481844,10910,13.52248359110456,2.820248375682482,13.921770044995483,3022,10.304338018627519,7556,13.387397319255655,10.805244132942988
118,,57600,,57600,18.692526539434596,14.851416767673868,,57600,,57600,18.671213372541317,9.175452530423954,,57600,,57600,18.811820538955317,20.65388275383343
119,16.49627682649553,4125,8.443247924431134,6408,15.025023765244967,6.197906830830945,15.465937929199669,5326,3.808116745123371,7882,15.235180608417721,2.655378225040394,17.482535493482303,3817,14.123321712966117,5932,14.794006447953848,10.817671154567918
